word	probability	surprisal
▁آلیس	9.792316859602579e-07	19.961846422727
▁نشسته	3.7010292999184458e-06	18.04364201226488
▁بود	0.23002082109451294	2.120163637499268
▁لب	0.0001320548908552155	12.886574644633626
▁آب	0.0007880476769059896	10.309429464137976
▁کنار	0.0018766527064144611	9.057622595117634
▁خواهرش	0.000144280944368802	12.758831608341211
▁و	0.11490052938461304	3.121542649916421
▁از	0.016825325787067413	5.893221749911725
▁اینکه	0.006749101914465427	7.2110887454243215
▁کاری	0.00038563861744478345	11.340462850786405
▁انجام	0.05933258682489395	4.07503150594716
▁نمی	0.03350599855184555	4.899436786553948
‌	0.8208568692207336	0.2847974101161084
داد	0.4253767728805542	1.2331868358363003
▁دیگر	8.775734750088304e-05	13.476120554041579
▁حوصله	0.002292750170454383	8.768705124458963
‌	0.38852939009666443	1.3639043602364358
اش	0.8474134802818298	0.23886201624331202
▁داشت	5.321034768712707e-05	14.197933644025222
▁سر	0.19139626622200012	2.385365409031794
▁می	0.8032911419868469	0.3160051271018164
‌	0.9990904331207275	0.0013128247675974938
رفت	0.9900121092796326	0.014481923340738771
▁یکی	0.0009725012350827456	10.006012297217591
▁دو	0.00541682168841362	7.528337683879969
▁بار	0.09630904346704483	3.376184915563928
▁به	0.10062447190284729	3.3129468831894755
▁کتابی	8.758805051911622e-06	16.800834510373672
▁که	0.3903583586215973	1.3571289329043124
▁خواهرش	5.999427230563015e-05	14.024815702227368
▁می	0.05798661336302757	4.108136307876893
‌	0.9691444635391235	0.04521636082894987
خواند	0.4728182852268219	1.0806422651757326
▁دزد	1.824893661250826e-05	15.741828075570636
کی	0.4401843547821045	1.1838202256219668
▁نگاهی	0.01640988513827324	5.92929104909638
▁انداخت	0.5504932403564453	0.8612032462005493
▁اما	0.0011203918838873506	9.801780846974124
▁هیچ	0.010809626430273056	6.531539523918176
▁تصویری	0.0006035925471223891	10.694137387296436
▁یا	0.0011747591197490692	9.733419317122516
▁گفتگویی	0.0005190281081013381	10.911899709327848
▁در	0.09509816020727158	3.3944387591570293
▁کتاب	0.0014864708064123988	9.393893154990455
▁نبود	0.009918955154716969	6.655596127003425
▁با	0.018793057650327682	5.733656375912607
▁خود	0.0005448486772365868	10.841856778859723
▁فکر	0.11546234041452408	3.1145057207930793
▁کرد	0.45835065841674805	1.125476348979423
▁آخه	0.00013186655996832997	12.888633621513497
▁کتاب	0.00014105308218859136	12.791474188566674
▁بدون	0.000636153039522469	10.618338502718569
▁عکس	0.0020058518275618553	8.961569246776316
▁و	0.0575396791100502	4.119299014363673
▁گفتگو	6.825881428085268e-05	13.838625120738259
▁به	0.016488829627633095	5.9223671894428005
▁چه	0.05699106678366661	4.13312039184691
▁دردی	0.4225219786167145	1.242901705879226
▁می	0.7891088128089905	0.3417038429681229
‌	0.7352557182312012	0.4436819956026778
خوره	0.484178751707077	1.04638832715618
▁پس	0.0056630270555615425	7.464210862229984
▁فکری	5.171477823751047e-06	17.56099195912513
▁به	0.5685669183731079	0.8145979355263459
▁ذهنش	0.01923876442015171	5.6998400425461755
▁رسید	0.6276050209999084	0.672071200607655
▁البته	0.00014312360144685954	12.770450783775944
▁تا	0.009087062440812588	6.78197029244337
▁جایی	0.04253134876489639	4.555329582975325
▁که	0.9012186527252197	0.15005092122115807
▁می	0.17407920956611633	2.522184183954126
‌	0.9472519755363464	0.07817985134523071
توانست	0.3759102523326874	1.4115398318399688
▁فکر	0.017922494560480118	5.802084735439214
▁کند	0.002330293646082282	8.745272520746699
▁چون	0.009889975190162659	6.659817382795415
▁گرمای	6.710056186420843e-05	13.8633156276043
▁روز	0.001606089062988758	9.282232387342649
▁حسابی	0.0010313139064237475	9.921300764456113
▁گیج	0.00020800167112611234	12.231117260242362
▁و	0.023029712960124016	5.440359760128392
▁خواب	0.012960129417479038	6.269776064991772
▁آلوده	0.13652370870113373	2.87277658362934
‌	0.6954548358917236	0.5239712683308209
اش	0.982365071773529	0.025668828636654168
▁کرده	0.7593030333518982	0.39725232326047816
▁بود	0.9776723980903625	0.03257697206852443
▁ارزش	0.00017775065498426557	12.457857503582055
▁داره	0.015950288623571396	5.970273659701337
▁بلند	1.70156781678088e-05	15.842775822702665
▁شم	0.04320360720157623	4.532704417326567
▁چند	0.0006111686816439033	10.676141762868639
▁تا	0.21584558486938477	2.2119285121745795
▁گل	0.007582575548440218	7.043096317553878
▁مینا	1.6934211089392193e-05	15.849699696576266
▁بچین	0.00207583699375391	8.912091124943165
م	0.9601696133613586	0.05863881536508358
▁و	0.11545076966285706	3.1146503038880606
▁تاج	6.64941399008967e-05	13.876413272295812
▁گلی	0.01475832611322403	6.082327089317795
▁درست	0.006893818732351065	7.18048092001207
▁کنم	0.8937025666236877	0.16213332729807722
▁یا	0.002927119843661785	8.41630247013611
▁نه	0.007924222387373447	6.979514915709453
▁اما	0.0011203918838873506	9.801780846974124
▁در	0.05514766648411751	4.180556348799709
▁همین	0.009604372084140778	6.702092988387972
▁لحظه	0.023691993206739426	5.3994566121964365
▁ناگهان	0.008220876567065716	6.926492052368866
▁خرگوش	0.00011633239046204835	13.069459536797623
ی	0.362005352973938	1.4659170642864614
▁سفید	0.001128805335611105	9.79098757230041
▁با	0.0937815010547638	3.414552818938076
▁چشمانی	0.006514772307127714	7.262069527529162
▁صورتی	0.0032497099600732327	8.265473322778384
▁از	0.0775003582239151	3.6896532109146696
▁نزدیکی	0.0008261253242380917	10.241351722672334
▁او	0.17885877192020416	2.4831072195207176
▁رد	0.2322409600019455	2.106305654207052
